,id,prompt,quarter,course,age,gender,l1 language,other l1 language(s),language(s) used at home,language(s) studied,listening comprehension,reading comprehension,speaking ability,writing ability,study abroad,essay,a personal annotator1,a personal annotator2,gender-number annotator1,gender-number annotator2,corrected
0,153178,special,S19,SPA 33,20,Female,Spanish,-  The language I consider to be my native language is Spanish,#NAME?,,4,3,3,3,No,"Alguien especial en mi vida es mi prima *FIRST_NAME*. *FIRST_NAME* tiene *AGE* años so es mayor que mi porque yo tengo *AGE*. Ella significa mucho para mi porque es como una hermana. Nosotras crecimos juntas y vivimos en la misma casa por mucho tiempol. Mi prima siempre me sacaba a los centrs comerciales para comprar ropa o maquillaje. Ella sabe todos mis secretos, problemas, y chismes. Desde pequeñas emos sido inseparables y hasta llorabamos cuando no estabamos juntas. Me acuerdo que compartiamos todo y hasta nos vestibamos como jemelas.  Mucha gente nos confundian por jemelas. A veces nosostras diciamos que en realidad si somos hermanas nomas por evadir una explicacion de que somos primas hermanas. Siempre me brinda su apoyo y me motiva a salir adelante. Cuando yo cayi en depresión perdi motivacion para seguir adelante y fue dificil para salir de esa mentalidad. Todos los dias ella me llamaba para recordarme que la vida era hermosa. Sin su apoyo no se que hubiera hacido. Todos mis veranos los paso con ella. Ahorita mi prima trabaja vendiendo casas. Ella es agente de buens raices y tiene como cinco meses trabajando. Su trabajo consume mucho de su tiempo y yo estoy estudiando. Tambien, ella vive en el sur de *STATE* mientras yo esty en el norte por escuela. Por esas razones no la eh visto en mucho tiempo y la extraño demasiado. Mi prima no solo es mi hermana pero tambien es mi mejora amiga. Ella significaa todo para mi y no se que hiciera sin ella.",,,,,
1,174048,special,S19,SPA 33,19,Female,Spanish,,Spanish,,3,3,2,3,No,"La persona especial in mi vida se llama *FIRST_NAME* y es una persona que conoci en la Universidad, en mi primer año. La razon por lo cual es una persona importante en mi vida es porque es una persona alegre, chostosa que me apoya mucho. Me hace sentir mejor cuando estoy muy estresada con mis estudios y tengo dudas de mis abilidades academicas. Me dice que tengo mas potencial de lo que creo y  con mas esfuerzo puedo alcanzar mi sueno en ser psicologa. Ademas de eso, nos divertimos mucho cuando vamos a las tiendas o tomar boba. Ella es muy chistosa porque hace carras espantosas o muy graciosas que ni puedo contener mis risas. Me pregunta o me dice cosas mensas como,  ""Nunca has pensado como sabe un bela o una hormiga?"" Se que no esta hablanod en serio (creo que no lo esta) pero de todos modos me hace reir mucho. Tambien, es una persona abierta que no juzga negativamente a las personas por ser diferentes. Por eso puedo decirle mis puntos de vista porque me escucha respetuosamente y me da su punto de vista. Hacemos debates aveces y si nos enojamos pero luego nos damos cuenta que no vale la pena esta enojadas por algo tan simple y insignificante. Ella es mi companera para comer gusgeras y mirar netflix asi que las dos nos obesionamos con la misma series o si no tenemos discusiones sobre nuestros series diferentes. Estoy muy agradecida en tener una persona tan amable y dulce. ",,,,,
2,204488,special,S19,SPA 2,19,Female,English,English,No,Spanish 5 years,1,3,1,2,No,"Una persona speciales en mi vivo, es mi mama. Ella is alta, tiene pelo ondulado y es pelirojo. Mi madre es muy inteligente con matematicas. Ella es professora de matematicas a la escuela en mi barrio. Ella es trabajara, simpatica, y introvertida. Ellla tiene cuatro hijos. Hay *AGE*, *AGE*, *AGE*, y *AGE* años. Ella tiene *AGE* años. Ella cumpleaños es el diez de mayo. Ella vive en *CITY*, *STATE*. Mi madre padres viven en *STATE*. Ella tiene uno hermana. Se vive en *STATE*. Mi mama bebida favorita es Dr. Pepper. Ella bebe todos los dias. A ella se gusta gatos. Ella tiene dos gatos. Se llamas son Sparkle y Smores. Mi mama no hable español pero mi papa hable español. Ella lee mucho libros y tiene glasses. Ella no ejercico. Mi madre ropa favorita es sweatshits. Ella tiene vientiocho sweatshirts y tiene todos los dias. Mi mama es mucho supportive y siempre aludame. Ella ni bailar ni cantar. Ella compra comida y no cocina siempre. Mi mama tienó me en japon y nosotros viajamos al virginia, chicago, florida, utah, y más states. Ella amo *CITY*. Mi mama tiene los ojos azules y es serio. Mi madre es muy bonita. Ella fui una  cheerleader en la escuela primero. Ella tiene un masters degree. Mi madre es increíble. Ella amo la familia mucho. Los gatos son muy diferente. Sparkles es negro y blanco y muy timido. Smores es cafe, tan, y blanco. Smores es adventuroso con mucho emocionada. ",,,,,
3,149040,special,S19,SPA 3,21,Female,English,,No,ASL - less than a year,3,3,3,3,No,"Mi mama es una persona importante de mi vida. Ella es muy simpatica, carinosa, intelligente, graciosa, y una fantastica chef. Mi mama encanta cocina todos los dias y es my malo con usando una receta. La comida que mi mama cocina es muy delicioso y es sano. Mi mama y yo son muy similare y tienen muchos characteristicos mismos. Por ejemplo, nosotros queremos todos a ser amigos y no molesta otros. Tambien, nosotros gustamos a ayudar otras personas, especiaamente cuando son triste. Mi mama es especial por otras characteristicas tambien. Ella es una profesora de *PLACE* High School de necesidades especiales. 

Mi mama es de *CITY*, *STATE* y tiene una mama, un papa, y una hermana. Ella es mas alta que su familia pero no es mas alta generalmente, significa que su familia es mas baja. Por todo su vida, mi mama vivia en *CITY*. Cuando ella fue estudiando en universidad, ella reunio mi papa. Juntos, mi mama y mi papa movaban a *CITY* y se caso. 

Mientras mi mama y yo son similares, nosotros estamos diferentes tambien. Por ejemplo, me encanta a escuchar musica y conoce muchos cancions y cantates diferentes. Sin embargo, mi mama no encanta muscia tan mucho que yo. Mi mama le gusta musica, pero no sabe muchas de las palabras de canciones. Una otra cosa que es diferente es mi mama le encanta a cocinar pero a mi no me encanta, solo me gusta. Tambien, mi mama es mejor que cocinando de yo y yo solo estoy mas o menos.",,,,,
4,201268,special,S19,SPA 21,19,Female,English,,,,3,4,3,4,No,"Una personaje muy imporante de my vida es mi hermana menor, *FIRST_NAME*. Ella es dos años menor que yo. *FIRST_NAME* es muy inteligente y saca buenas notas en escuela. También Ella es muy simpatica y siempre auyda a las personas necesitadads. Finalmente ella es muy gracioso y ella siempre me hace reír. Cuando estoy teniendo un mal día ella sabe hacerme sonreír. Aunque somos hermanas, no nos parecemos. Ella tiene pelo castaño y ojos verdes. Por otra parte, yo tengo pelo rubio y ojos azules. Sin embargo, nosotros tenemos habitós similares. Los dos nos gusta praticar deportes. Yo juego fútbol y mi hermana practica un hockey sobre césped. En el tiempo libre nos gusta ir a la playa y caminar por los parques. Además nos gusta ver a pas películas A veces, nosotros vamos a Disneyland por el día. Pero solamente uno o dos veces per año porque Disneyland es muy expensivo y no tenemos mucho dinero. Mi hermana y yo somos muy cerca. Le cuento todo lo que me pasa. Nosotros hablamos por telefono al menos dos veces de la semana. Yo estaba muy triste  cuando yo fui a la Universidad y mi hermana se quedò en *CITY*. Pero yo visito a *CITY* mucho y puedo verla. Cuando yo visito nos pasamos un rato juntos y nos ponemos al día. Estoy muy emocionada de verla pronto cuando vaya a casa a visitarla. No solo es mi hermana, sino que es una de mis mejores amigas. No puedo esperar a verla pronto.",,,,,
5,204489,special,S19,SPA 3,19,Female,English,,,,2,3,2,3,No,"Mi mejor amigo y el amor de mi vida es mi novio *FIRST_NAME*. *FIRST_NAME* es la persona más especial en mi vida porque él es muy interesante, inteligente, y simpático. Él es muy guapo también. Se amo porque siempre él me hace feliz cuando estoy triste. Más importante, él es muy fuerte cuando cosas malas pasan y él no es violento cuando se enoja. Es Mexicano y, por eso, me ha enseñado a encantar la cultura Mexicana y la lengua español. Tiene el pelo moreno y los ojos son parte azule y parte verde y tiene *AGE* años, casi *AGE* porque su cumpleaños es el veintiséis de junio. Nos encantamos a viajar y queremos a ir a Mexico una día a visitar con su familia y para que yo pueda hablar español mejor. Una vez, Mi y *FIRST_NAME* fuimos a *CITY* por una semana y cuando tenemos una Uber, el hombre que estaba conduciendo el carro fue de Argentina. Todo el tiempo, los dos, *FIRST_NAME* y el hombre, hablaron en español sobre los deportes y sobre viviendo en *CITY* y viviendo en Mexico, Argentina, España, Barcelona, y muchas otras países. Fue un bueno tiempo porque yo estaba escuchando a la conversación y yo entendí muchas de qué estaban diciendo, como cuando *FIRST_NAME* dijo que él espera que el clima haga sol y él hombre dijo que el clima siempre fue bueno en *CITY*. Por todo eso, me encanta *FIRST_NAME* y él es la persona más importante en my vida. ",,,,,
6,175182,special,S19,SPA 33,19,Female,Spanish,,Spanish,"The only languages that I speak are Spanish and English. I have studied English since I was in pre-school and I took two Spanish courses in high school, but I speak Spanish at home.",5,4,5,4,Yes,"Una persona que muy especial en mi vida es mi madre porque ella siempre me dice que no me de por vencida y ella siempre me dice que trabaje mas duro. Mi mama siempre esta trbajando muy duro para que yo salga adelante y para que yo logre mis suenos. Mi mama es una persona que siempre ha estado ahi por mi cuando yo la ha necesitado y ella siempre ha tenido tiempo para mi. Cuando yo era chica, mi mama siempre ha estado incluida en mi escuela. Ella ha ido a mis presentaciones, eventos escolares y a mis actuaciones. Mi mama siempre me ha apoyado educacionalmente porque ella quiere que yo se halgo en la vida. Ella quiere que obtenga un trabajo importante y que gane mucho dinero para que yo me soporte yo misma. Ella quiere queire que yo sea independiente y que yo sea muy inteligente para que nadie me haga menos. Ademas, mi mama es una persona muy especial en mi vida porque ella siempre ha luchado y trabajado mucho para que yo logre mi suenos y sea algien importante. Mi mama me apoya en todo lo que hago y cuando yo necesito su ayuda, ella esta ahi para aconsejarme en lo que tengo que hacer. Ella es mi modelo en mi vida porque yo queiro trabajar muy duro para que yo le haga su vida a mi mama mas facil. Algun dia, yo le quisiera comprar su casa de sus suenos donde ella podra relajarse y ser contenta. ",,,,,
7,206883,special,S19,SPA 33,19,Male,"English,Spanish",None,"No, I don't.","I started speaking Spanish, English and Spanish began being implemented together once I began going to school ",5,4,4,4,Yes,"Hay muchas personas en mi vida que son especiales, todas las cual han impactado mi vida para lo mejor. Si tuviera que hablar de solo una persona, yo hablaría de mi madre. Esto es porque ella siempre ha hecho lo posible de darme la mejor vida posible. Es una mujer que tiene mucho amor hacia sus hijos y hacia el mundo. Su porte es especial, ella mira hacia todo y se preocupa sobre todos. Siempre esta ha mi lado y me ha soportado en la decisiones que he tomado. Me cuenta como fue su día y me llama diario. Mi madre es una mujer religiosa, la religion es todo para ella, es su vida. Me dice que sin Dios no somos nada, pero respecta las opiniones de los demás aunque no concuerda con ellos. Mi madre no puede decir no, siempre dice si, es algo que yo también batallaba. Me sentía mal al decir no, pero poco a poco se me hizo fácil decir no. Mi madre tiene un espacio entre sus dos dientes, me lo heredo. Fue algo que teníamos en común y no me lo quise quitar, pero fue algo que me avergonzaba. Mi madre como todas las otras madres me ve y me dice que soy bien guapo cuando me miro como una rata mojada. Mi madre es la única mujer en mi vida la cual respecto y adoro pero no puedo expresar mis emociones. Se me hace muy difícil ensenarle mis emociones y decirle lo que pienso de ella pero la quiero con todo mi corazón y no se que haría sin ella.   ",,,,,
8,200564,special,S19,SPA 1,I am 19.,Female,"English,Other",English/Cantonese,Cantonese,"Portuguese (2 years), Mandarin (11 years)",1,2,2,1,No,"Mi abuela es una persona especial en mi vida. Ella es muy vieja, y tiene *AGE* anos. Mi abuela tiene el pelo corto y gris, y los ojos marrón oscuros. Ella es un poco gorda y es muy baja. Ella es muy buena en la cocina, y le gusta mucho la comida. Mi abuela es muy simpatica y trabajador. Ella tiene una hija, mi madre. Mi abuela le encantan los pájaros, y le gusta los perros. Ella es mi mujer favorita. Ella vive en *CITY*, China. Ella no le gusta el calor. Ella lleva una camisa morada y unos pantalones negros. Ella le gusta dormir, y dormir mucho, porque ella es vieja. Ella tambien le gusta el sol porque no le gusta el frio. Ella está casada con mi abuelo. Su color favorita es amarillo y rojo. Su comida favorita es los huevos con tomate. Quiero a mi abuela, y la visito todos la veranos.",,,,,
9,155708,special,S19,SPA 33,22,Female,Spanish,Spanish,Spanish,,5,5,5,3,Yes,"En vida hay muchas personas especiales y una de ellas es mi papá. Mi papá es una persona muy trabajadora y no le importa que trabajo este haciendo, mientras que el trabajo sea honrado el lo hace. Él siempre se a asegurado de tener un techo sobre mi cabeza y que siempre tengamos de comer. Gracias a sus esfuerzos yo he podido tener mucho más de lo que necesito. Yo se que el ha tratado de ser el mejor padre del mudo y darme amor y apoyo en las buenas y en las malas. Me recuerdo que cuando era pequeña y mi papá llegaba del trabajo a las 5 de la tarde y yo siempre lo esperaba en la puerta lista para brincar en el y darle un brazo de “oso” como el los llama. Yo se que él llagaba a la casa muy casado, pero a él no le importaba cuando yo le pedía que jugara conmigo lo hacia. Lo que más admiro de él es el gran corazón que él tiene. Mi padre es un hombre que trata de ayudar a todos, aunque la persona sea completamente un extraño si esta entre su posibilidad él ayuda a esa persona. Yo e visto como el se a sacado el bocado de la boca para dárselo a otra persona. Yo admiro esto de el porque en el mundo en el que vivos hoy en día es difícil encontrar personas como él. Por esas cosas y muchas más mi padre es una de las personas más especiales para mi.",,,,,
