,id,prompt,quarter,course,age,gender,l1 language,other l1 language(s),language(s) used at home,language(s) studied,listening comprehension,reading comprehension,speaking ability,writing ability,study abroad,essay,a personal annotator1,a personal annotator2,gender-number annotator1,gender-number annotator2,corrected
0,171468,terrible,W19,SPA 3,19,Female,English,,,,2,2,1,3,No,"Un terrible historia. Un día un joven chico se despertó. Entró en la cocina. Hay comida caliente encima de la mesa. Pero su familia no estaba allí. Miró por toda la casa. En la sala, en las habitaciones, en el ático. Intentó llamar a su familia por teléfono. Nadie respondió. Era extraño porque el teléfono no funcionaba normalmente. Él chico no comprendó. Él preguntó ¿dónde fueron todos? Él chico comenzó a se preocupó. Él caminó al centro porque no quiere solo. Cuando él fue a centro todos no estaban allí también. No hay personas o animales en las calles. Sólo él. Comenzó oir música. La música sonaba familiar pero no podía recordar. Entonces vio su perro. Su perro corrió. Él corrió después a su perro. El perro lo llevó a muchas luces detrás de las tiendas del centro. Él puede escuchar la música más y oir personas hablabas. Empeźo a cantar con todos. Estaba cantando y otras personas cantaban, pero todavía no podía ver a nadie. Sabía que estaban allí, pero no podía ver. Su perro corrío salir. Él chico estaba solo otra vez. Él chico pensó en la comida, las luces, y la música. Se dio cuenta de que estaba muerto. Fue el día de los muertos. Comrendió celebración de su vida. Esta fue la primera vez que estaba celebró el día de los muertos y realmente muerto. Él chico estaba triste porque estaba solo, pero también feliz de que todos los vivos lo recordaran. Por eso estaba feliz y bien con estar muerto.",,,,,
1,205437,terrible,W19,SPA 2,19,Male,Mandarin,,Mandarin,English,,,,,,"Después de un día entero de trabajo, Linda está mentalmente y físicamente agotado.

Ella decide pasar el rato con unas amigas para relajar. Ella piensa que ir al restaurante japonés con estas amigas es una buena idea. Mientras ella está pensando en el plan de la noche, ella camina hacia el elevador. Ella presiona el botón de el elevador y el elevador viene.

La puerta de ese elevador se abre y ella ve que hay una enfermera en el elevador. Ella dice ""hola"" a esa enfermera para mostrar su cortesía. La enfermera dice ""hola"" de nuevo. Linda presiona el botón del primer piso, pero el elevador pasa el primer piso y sigue bajando y

alcanza al piso B3. Ella comienza a preguntar por qué el ascensor está funcionando mal. La puerta de ese elevador se abre y una niñita dice que ella también quiere tomar el elevador. Cierra apresuradamente la puerta del elevador y apresuradamente presiona el botón del primer piso varias veces. Esa enfermera no entiende por qué lo hizo. La enfermera pregunta por qué no quiere que esa chica tome el elevador. Linda contesta: ""B3 es el piso donde colocamos los cadáveres y cada cadáver tiene una cuerda roja en su finesse"". Linda se detiene para unos segundos y continues hablar: ""yo vi esa chica, esa niñita también tiene una cuerda roja en su finesse. La enfermera escuchó la respuesta, ella lentamente puso su mano fuera. De repente muestra una sonrisa escalofriante. La enfermera dice: ""Esa cuerda roja...es similar a esta?"" ",,,,,
2,173531,terrible,W19,SPA 3,"19, 20 in February ",Male,English,,"It’s very rare, but I will speak some Spanish with my mom",,3,4,3,4,No,"Esta historia puede ser demasiado personal para una tarea escolar, pero es uno de los días más tristes de mi vida. Fue mi decimosexto cumpleaños, comenzó como un de los mejores días de mi vida. Obtuve mi licencia de conducir y mi primer coche. Mi familia fueron a uno de los mejores restaurantes de la ciudad. La única persona que no estaba en la mesa era mi novia en ese momento. Intenté llamarla varias tiempos a lo largo del día, pero ella nunca contestó. No fue hasta más tarde esa noche cuando ella  me llamó para decirme que estaba mudando a Europa. No podía creer que ella estuviera saliendo de *STATE* para estudiar en Inglaterra. Esa noche conduje a su casa porque yo finalmente tenía un coche. Las luces estaban apagadas en su casa. Fue entonces cuando supe que ella se había ido para siempre. Esa fue la última vez que la vi o hablé con ella nunca más. A la mañana siguiente me enteré de que cuando me llamó, esa era su manera de decir adiós. Ya estaba en el aeropuerto cuando me llamó. Lloré muchas veces ese año. Se lo conté a mi familia y amigos y todos estaban muy sorprendidos. Durante mis últimos años de escuela secundaria, ella era todo lo que podía pensar. Todavía recuerdo todo sobre ella. Su hermoso cabello castaño y sus ojos verdes. Hasta el día de hoy todavía no he escuchado nada de ella, ni siquiera una palabra. Ese fue uno de los peores días de mi vida. Ese fue el día que perdí el amor de mi vida.",,,,,
3,174048,terrible,W19,SPA 32,19,Female,Spanish,,I speak Spanish with my roommate so it helps me put it into practice.,,4,4,2,4,No,"Era un dia de la semana, habia llegado de la escuela y mi mama nos ordeno a mi hermana y a mi que fueramos a la marqueta con ella para comprar comida. Yo no tenia ninguna intencion de ir porque era muy aburido buscar las verduras y luego hacer linea para pagar. En el Super siempre habia mucha, mucha gente hasta a veces podias durar una hora en linea y eso hacia que la gente se hiciera muy impaciente y grocera. Entonces, por la razon de que las lineas estaban muy largas mi mama le oobligo a mi hermana que hiciera linea y ya cuando iba a rodear la tienda mi hermana me ordeno que me quedara con ella. Yo comence a quejarme pero mi mama dijo que hiciera lo que mi hermana me dijera y pues me quede calladita. Mi hermana y yo fuimos hacer linear pero se transformo en una curva alrededor de los paquetes de Chips Ahoy. 

En realidad, nada paso en los primero veinte minutos en linea. Mi hermana y yo tratabamos de destraernos para hacer que el tiempo se fuera mas rapido. De repente veo a una cara familiar y primero pense en mi mente que no era nadie. Despues volvi a voltearme para mirar a la persona y se me registro sus caracterisitcas. Era un companero de la escuela! Mi companero, *FIRST_NAME* me saludo con una sonrisa pero como era muy timida no sabia que mas hacer despues de responderle con una sonrisa.  Me recargue ante las galletas y todas se calleron en mi cabeza!  *FIRST_NAME* se comenzo a reir mucho pero yo sentia mucha verguenza. Ademas de eso se podia escuchar las rizas de mi hermana. Era un companero que me gustaba y era lo peor que me pudiera pasar en frente de el asi que me despedi rapidamente y fui coriendo a buscar mi mama. Nunca se me a olvidado la humillacion que senti en ese momento. ",,,,,
4,174869,terrible,W19,SPA 24,20,Female,English,,,,3,3,3,3,No,"Cuando mi y mi hermana eran mas joven, mis padres salió afuera para el día y nos dejaron solos en casa. Mi hermana y yo nunca habíamos estado solo en casa antes. Nosotros se aman a mirar television por todo el día. Este día, cuando miramos television en la mañana, agua cafe comenzó a gotear del techo. Yo quiero ignorar la agua pero mi hermana no le gustaba este idea. Ella subio las escaleras y ella corrió escaleras abajo en pánico. La agua cafe estaba fluyendo por el pasillo. Salía de los baños, duchas y lavamanos. Mi hermana y no teníamos idea de qué hacer ni a quién llamar para pedir ayuda. Corremos a la casa de mi vecino y preguntamos para ayuda. Él vino a nuestra casa y dijo que necesitamos remojar toda la agua con mantas, toallas y todo lo que poseemos. Así que hicimos lo que él dijo. Una vez habíamos absorbido toda el agua, llamamos a nuestros padres. Estaban confundidos y preocupadas. Ellos llegaron a casa tan pronto como pudieron. Todo fue destruido. Los pisos fueron los peores pero todos de nuestros cosas fueron destruidos también. Todo nuestra casa necesitaba ser remodeled. También necesitamos comprar todos coses nuevas para la casa. Es muy bruto porque todas las aguas residuales de toda la cuidad entró en nuestra casa. Nosotros necesitamos mover para cinco meses porque no podríamos vivir en la casa. Este es una historia muy terrible sobre la primera vez mi hermana y yo quedamos solos en casa. ",,,,,
5,149040,terrible,W19,SPA 2,21,Female,English,,no,ASL - a couple quarters,3,3,2,2,No,"Una vez, mi hermano y yo está en su casa solo, mis padres salieron para un vaccacion. Mi hermano y yo pasé tiempo juntos y fuemos al *PLACE* para almuerzo porque creyo que es el mejor restaurante. Cuando feumos juntos, dije a mi hermano que yo fui salir a una fiesta para *FIRST_NAME*, mi mejor amigo. Fue el cumpleános del 21 de *FIRST_NAME*. La fiesta está en la noche en sabado. Mi hermano dijo que le fue estar en casa cuando estuve en la fiesta. El no tuve nada a hacer otro que necesitía tomar su perro para un camina en la noche. Nosotros tenemos un perro se llama Buddy quien tiene mucho energia y usualmente tiene dos caminas cada dia. Diez minutos antes de salí para la fiesta, mi hermana tomía Buddy para la camina, y el dijo que ellos no fueron camina por mucho tiempo. Dijo a el que yo necesitía salir en diez minutos y ellos necesitaron volver en tiempo porque yo tuve el solo llave a la casa. También, dije que si no vuelveron en tiempo, fui no cerca una puerta de la casa con el llave y pudieron entrar dentro aquella.

Cuando fue tiempo a salir, yo salía muy rapido y no fuí piensado. Yo llegue a la fiesta que está en la casa de mi amigo, y tuve una llamada de mi hermano. Ademas, yo no manejé a la fiesta, yo salí con mi amiga. En el telefono, mi hermano me dijo que todos de las puertas no estuvieron abierto y no pudieron entrar la casa. Yo piense my rapido y pregunta mi amigo que yo puedo tomía su coche a manejía a mi casa a abierto la puerta para mi hermano. El dijo si, y yo volvía a mi casa, abierto la puerta, y finalmente volvía a la fiesta.",,,,,
6,153965,terrible,W19,SPA 24,20,Female,English,,,Mandarin - 3 years ,3,3,3,2,No,"No sé la razón, pero este año me encuentro tener muchas problemas sociales. En particular, con mis compañeras del apartamento. Yo tengo un novio y nosotros siempre estudiamos a su apartamento y nunca vamos a mi apartamento porque mi compañera no quiere algunos muchachos a nuestras apartamento. Sin embargo, a viernes a la noche, me escabullo mi novio en mi apartamento porque estaba muy tarde y nosotros estábamos muy cansado. Yo supe no debo escabullirse mi novio en mi apartamento y yo sentí muy malo para escondiendo esta situación de mi compañera. Tenemos un cámara a fuera de nuestras puerta principal pero mi compañera nunca mira a los videos. Sin embargo, hoy día ella miró a los videos y vio mi novio entra nuestra apartamento. Ella estaba muy furiosa y decepcionada a mi. Yo sé y entiendo no debo escabullirse esta situación y yo debo conté mi compañera. Yo siento muy mala y deseo que yo no me escabullí o mentí a mi compañera. Pero, hace dos mesas yo hablo con ella sobre mi novio va a nuestra apartamento algunas veces y ella dice que pensaría sobre la situación, pero ella nunca dame su repuesta. Yo también, pide a ella si mi novio puede estudiar conmigo a su apartamento, pero cada vez ella dice que no y cada vez yo respetada su decisión. Yo me escabullo mi novio en mi apartamento porque estaba muy tarde y mi compañera estaba durmiendo por eso yo piense que ella no sabría que él se quedó a nuestra apartamento.  ",,,,,
7,161732,terrible,W19,SPA 3,21,Female,English,n/a,no,no,3,4,2,3,Yes,"Fui a Costa Rica durante el verano. El vuelo debía detenerse en *CITY*, *STATE*, y luego ir a Costa Rica. Mis padres, mi hermana y yo debíamos estar en *STATE* por uno. Sin embargo nos quedamos en *STATE* durante la noche. No pude averiguar por qué tuvimos que esperar tanto tiempo para despegar. Luego descubrimos que el avión tenía siete agujeros en el motor. Nos sentamos en el avión durante cuatro horas en el aeropuerto. El mecánico tuvo que intentar arreglar el avión tres veces antes de que se rindiera. El aeropuerto de Costa Rica cierra a las 11 de la noche y habríamos aterrizado después de que el aeropuerto hubiera cerrado. Así que tuvimos que esperar un vuelo a la mañana siguiente. Tuvimos que bajar del avión y encontrar un hotel para pasar la noche. El hotel estaba lejos del aeropuerto. Por la mañana tuvimos que salir muy temprano para hacer las 7:30 en el vuelo de la mañana. Finalmente hicimos nuestro vuelo y nos dirigíamos a Costa Rica. Viajar a Costa Rica tomó dos días, solo se suponía que tomaría seis horas. Una vez que aterrizamos, fue un viaje de seis horas hasta el hotel. El hotel estaba en el otro lado del país que el hotel. No tienen muchos aeropuertos como los que tenemos en los Estados Unidos de América. En realidad me gustó el viaje en la mañana en lugar de tarde en la noche, el día anterior. Pude ver toda la vida salvaje mientras conducía por la selva. Me encantaron los monos.",,,,,
8,202775,terrible,W19,SPA 2,18,Female,English,,,,3,3,2,3,No,"Un vez, yo vivo en *STATE*. No me gusta *STATE* porque todos los personas no son felices todos los días. En el invierno estoy muy frío porque el clima es muy frío también. Los personas son muy blancas y no son sonreír. Yo soy un persona que necesita el sol para disfrutar mi día. Y si no hay sol, no soy feliz. Soy muy triste. Yo llore todos los días. Probablemente estaba mas triste en todo mi vida. Y también estaba enfermo. Así que yo fui a la supermercado para comprar cosas que son bueno para mi. Yo compre la medicina y comidas de helado y pan dulce. Pero cuando tener que pagar, no tengo dinero. Que horrible! Esta día es muy horrible. Así que no puedo comprar los cosas para mi y ahora soy muy triste. Así que yo fui a mi carro para manejar a mi casa. Pero ahora esta lloviendo en todos partes. Y no tengo el paraguas! Así que ahora esta mojado en todos partes. Ademas, mi carro no funciona. Así que ahora yo tengo que caminar a mi casa. Cuando yo llegar a mi casa, no tengo mis llaves. Así que yo tiene que esperar para mi hermana  a regresar. Cuando mi hermana regresar, yo esta muy triste porque mi día fue horrible. Yo llevo por tres horas, mirar a la televisión, y jugar con mi perro para sentir mejor. Mi perro es el único cosa que son muy bueno. Pero, mañana, es un día nuevo. Espero que es mejor.",,,,,
9,133504,terrible,W19,SPA 21,21,Male,English,n/a,Vietnamese,French - 1 semester in 2010,,,,,,"Cuando yo visité England, yo estaba muy mal. Estaba enfermado. Pero estaba enfermado que no podía caminar. No caminaba a mis clases. Mis clases estaban difíciles. Yo estudié physics. Este tiempo fue primera vez que yo estudiaba physics. Este sujeto es muy difícil para aprender.

En England, me gustaba la comida, pero no me gustaba la lluvia. Me divertía en England, pero no estaba bien. Cuando yo devolví en Estados Unidos, necesitaba ir al médico. Estaba enfermado por seis semanas, no necesitaba caminar a mis clases sin dolor. Pero yo necesitaba ir a las clases porque yo quería buenas notas en mis clases. En estas semanas, yo conocí una matona. Ella era mi amiga en la escuela de secondaria. Me recordía que ella estaba una chica simpática, pero ahora ella fue una matona. Ella y yo no nos llevábamos bien. Ella tenía celos porque yo me llevaba bien con sus otras amigas. Ellos tenía miedo que yo robo sus amigos.

Yo estaba enfermado y no tenía amigos. Mi médico dijo que yo tengo Crohn's Disease. Yo no sabía que tener estas cosas malas. Cuando yo devolví en Estados Unidos, yo no dijo a mi amiga que tengo Crohn's Disease porque ella no merece aprender mi vida. No quiero tener su lástima. Yo estoy fuerte y no la necesito en mi vida. Ahora, yo estaba mucha buena y no hablo con ella. Yo tenía una nota buena, pero no perfecto. Mis amigas no le gusta mi matona, y ellas me apoyan. Este es triste para mi, pero había un final feliz.",,,,,
